dm	epochs	min_count	vector_size	window	workers	AUC
0	5	1	200	5	8	0.7365
0	5	1	200	6	8	0.7373
0	5	1	200	7	8	0.738
0	5	1	300	5	8	0.7346
0	5	1	300	6	8	0.7349
0	5	1	300	7	8	0.7348
0	5	1	400	5	8	0.7349
0	5	1	400	6	8	0.7353
0	5	1	400	7	8	0.7343
1	5	1	200	5	8	0.6306
1	5	1	200	6	8	0.629
1	5	1	200	7	8	0.6191
1	5	1	300	5	8	0.6306
1	5	1	300	6	8	0.6282
1	5	1	300	7	8	0.6229
1	5	1	400	5	8	0.6358
1	5	1	400	6	8	0.6295
1	5	1	400	7	8	0.6223
